Original works,,,,,
Opera,,,,,
Don Sanche (Le château de l'amour),1824–25,Stage,,vv ch orch,"opera in 1 act; libretto by Théaulon and de Rancé, after a story by Jean-Pierre Claris de Florian; first perf. 1825-10-17 in Paris; unpublished"
Weimars Volkslied (Von der Wartburg),"1857, rev. 1875?","Choral, secular",E major,mch pf,arr. of S.87/1a
Weimars Volkslied (Von der Wartburg),1875?,"Choral, secular",E major,mch ww br perc,2nd version of S.87/1a
Weimars Volkslied (Von der Wartburg),1857?,"Choral, secular",F major,mch (+ pf),arr. of S.313
Weimars Volkslied (Von der Wartburg),1860?,"Choral, secular",E major,mch,arr. of S.313; 1st version of S.87/3b
Weimars Volkslied (Von der Wartburg),1875?,"Choral, secular",E major,mch,2nd version of S.87/3a; not published
Weimars Volkslied (Von der Wartburg),1875,"Choral, secular",E major,mch org,arr. of S.313
Weimars Volkslied (Von der Wartburg),1875,"Choral, secular",E major,mch (+ pf),byarr. of S.313 [by Bernhard Sulze ?]
Weimars Volkslied (Von der Wartburg),1875?,"Choral, secular",E major,uch,arr. of S.313
Weimars Volkslied (Von der Wartburg),1875?,"Choral, secular",F major,cch,arr. of S.313
Weimars Volkslied (Von der Wartburg),1857?,"Choral, secular",C major,uch br,arr. of S.313; arr. for uch pf as S.87/8b
Weimars Volkslied (Von der Wartburg),1857?,"Choral, secular",C major,uch pf,arr. of S.87/8a
Mit klingendem Spiel I (Morgenlied),1859,"Choral, secular",,fch,alternative text to S.89
Mit klingendem Spiel II (Morgenlied),1859,"Choral, secular",,cch,alternative text to S.88
"Vereins-Lied (Frisch auf, zu neuem Leben)",1855,"Choral, secular",,mch,"1st version of S.90/1b, S.90/1c"
"Vereins-Lied (Frisch auf, zu neuem Leben)",1857,"Choral, secular",,mch,"2nd version of S.90/1a, S.90/1c"
"Vereins-Lied (Frisch auf, zu neuem Leben)",1860,"Choral, secular",,mch,"No.1 of Für Männergesang; 3rd version of S.90/1a, S.90/1b"
"Ständchen (Hüttelein, still und klein)",1841–43?,"Choral, secular",A major,ten mch,"1st version of S.90/2b, S.90/2c"
"Ständchen (Hüttelein, still und klein)",1845–49?,"Choral, secular",A major,ten mch,"No.6 of Sechs Männerchöre; 2nd version of S.90/2a, S.90/2c"
"Ständchen (Hüttelein, still und klein)",1857–60,"Choral, secular",G major,ten mch,"No.2 of Für Männergesang; 3rd version of S.90/2a, S.90/2b"
Wir sind nicht Mumien,1842,"Choral, secular",,mch pf,No.1 of Vierstimmige Männergesänge; 1st version of S.90/3b
Wir sind nicht Mumien,1860–61,"Choral, secular",,mch pf,No.3 of Für Männergesang; 2nd version of S.90/3a
Vor der Schlacht (Es rufet Gott uns mahnend),1845,"Choral, secular",,mch pf,1st version of S.90/4b; arr. for pf as S.511/1
Vor der Schlacht (Es rufet Gott uns mahnend),1860,"Choral, secular",,mch,No.4 of Für Männergesang; 2nd version of S.90/4a
Nicht gezagt,1845,"Choral, secular",A? major,mch pf,1st version of S.90/5b; arr. for pf as S.511/2
Nicht gezagt,1860,"Choral, secular",G major,mch,No.5 of Für Männergesang; 2nd version of S.90/5a
Es rufet Got,1845,"Choral, secular",,mch pf,1st version of S.90/6b; arr. for pf as S.511/3
Es rufet Got,1860,"Choral, secular",,mch,No.6 of Für Männergesang; 2nd version of S.90/6a
Soldatenlied aus Faust (Burgen mit hohen Mauern und Zinnen),1844,"Choral, secular",,mch (+tpt timp),No.5 of Sechs Männerchöre; 1st version of S.90/7b
Soldatenlied aus Faust (Burgen mit hohen Mauern und Zinnen),1860–61,"Choral, secular",,mch (+tpt timp),No.7 of Für Männergesang; 2nd version of S.90/7a
Die alten Sagen kunden,1841–45?,"Choral, secular",B? major,mch pf,No.2 of Sechs Männerchöre; 1st version of S.90/8b
Die alten Sagen kunden,1860–61,"Choral, secular",A minor,4vv mch,No.8 of Für Männergesang; 2nd version of S.90/8a
Saatengrün,1843?,"Choral, secular",,mch pf/(hp?),No.3 of Sechs Männerchöre; 1st version of S.90/9b
Saatengrün,1860–61,"Choral, secular",A major,mch,No.9 of Für Männergesang; 2nd version of S.90/9a
Der Gang um Mitternacht (Ich schreite mit dem Geist),1841–43?,"Choral, secular",,mch,No.4 of Sechs Männerchöre; 1st version of S.90/10b
Der Gang um Mitternacht (Ich schreite mit dem Geist),1860,"Choral, secular",,ten mch,No.10 of Für Männergesang; 2nd version of S.90/10a
Festlied zu Schillers Jubelfeier 10 November 1859,1859,"Choral, secular",,bar mch,1st version of S.90/11b
Festlied zu Schillers Jubelfeier 10 November 1859,1860,"Choral, secular",,bar mch,No.11 of Für Männergesang; 2nd version of S.90/11a
Gottes ist der Orient,1842,"Choral, secular",B major,mch,No.4 of Vierstimmige Männergesänge; 1st version of S.90/12b
Gottes ist der Orient,1860–61,"Choral, secular",A major,mch,No.12 of Für Männergesang; 2nd version of S.90/12a
Das Lied der Begeisterung (A lelkesedés dala),1871,"Choral, secular",,mch,1st version of S.91/2; German and Hungarian text
Das Lied der Begeisterung (Was nützt mir der Erde reichstes Gut),1874,"Choral, secular",,mch org,2nd version of S.91/1; German text nly
Carl August weilt mit uns (Festgesang zur Enthüllung des Carl-August-Denkmals in Weimar),1875,"Choral, secular",,fch br timp,fanfare arr. for pf as S.542b
Magyar király-dal (Ungarisches Königslied),1883,"Choral, secular",,mch,arr. of S.340
Magyar király-dal (Ungarisches Königslied),1883,"Choral, secular",,ch,arr. of S.340
Magyar király-dal (Ungarisches Königslied),1883,"Choral, secular",,mch pf,arr. of S.340
Magyar király-dal (Ungarisches Königslied),1883,"Choral, secular",,ch pf,arr. of S.340
Magyar király-dal (Ungarisches Königslied),1883,"Choral, secular",,mch orch,arr. of S.340
Magyar király-dal (Ungarisches Königslied),1883,"Choral, secular",,ch orch,arr. of S.340
Magyar király-dal (Ungarisches Königslied),1883,"Choral, secular",,cch,arr. of S.340
Gruss (Glück auf),1885,"Choral, secular",,mch,
Orchestral works,,,,,
Symphonic poems,,,,,
Ce qu'on entend sur la montagne,"1848–49, rev. 1850, 1854","Orchestral, symphonic poem",,orch,arr. for pf4h as S.589; arr. for 2pf as S.635; see also S.261a
(Symphonic Poem No.1),,,,,
Tasso: Lamento e Trionfo,"1849, rev. 1850–51, 1854","Orchestral, symphonic poem",,orch,arr. for pf4h as S.590; arr. for 2pf as S.636; see also S.112/3
(Symphonic Poem No.2),,,,,
Les préludes,1850–55,"Orchestral, symphonic poem",,orch,"based on projected overture to S.80b; arr. for pf4h as S.591, for 2pf as S.637; for pf as S.511a"
(Symphonic Poem No.3),,,,,
Orpheus,1853–54,"Orchestral, symphonic poem",,orch,"arr. for pf as S.511b, for pf4h as S.592. for 2pf as S.638, for org as S.672a; see also S.167d"
(Symphonic Poem No.4),,,,,
