original works, , , , , 

opera, , , , , 

don sanche (le château de l'amour), 1824–25, stage, , vv ch orch, "opera in 1 act; libretto by théaulon and de rancé
marche hongroise, 1879, "piano,  arr.", , pf
marche hongroise, 1883, "piano,  arr.", , pf
allegretto, 1838–39, "piano,  arr.", , pf
mélodies hongroises d'après franz schubert (schuberts ungarische melodien), 1846, "piano,  arr.", , pf
andante, 1846, "piano,  arr.", , pf
marcia, 1846, "piano,  arr.", , pf
allegretto, 1846, "piano,  arr.", , pf
märsche von franz schubert (3):, 1846, "piano,  arr.", , pf
trauermarsch (grande marche funèbre), 1846, "piano,  arr.", , pf
grande marche, 1846, "piano,  arr.", , pf
grande marche caractéristique, 1846, "piano,  arr.", , pf
marche militaire (grande paraphrase de concert), 1870?, "piano,  arr.", , pf
soirées de vienne (valses-caprices d''après françois schubert), 1846–52, "piano,  arr.", , pf
(allegretto malinconico), 1846–52, "piano,  arr.", a? major, pf
(poco allegro), 1846–52, "piano,  arr.", a? major, pf
(allegro vivace), 1846–52, "piano,  arr.", e major, pf
(andantino a capriccio), 1846–52, "piano,  arr.", d? major, pf
(moderato cantabile con affetto), 1846–52, "piano,  arr.", g? major, pf
(allegro con strepito), 1846–52, "piano,  arr.", a minor, pf
(allegro con spirito), 1879, "piano,  arr.", a minor, pf
(allegro con spirito), 1883?, "piano,  arr.", a minor, pf
(allegro spiritoso), 1846–52, "piano,  arr.", a major, pf
(allegro con brio), 1846–52, "piano,  arr.", d major, pf
(preludio a capriccio), 1846–52, "piano,  arr.", a? major, pf
feuille morte (Élégie d'après soriano), 1845, "piano,  arr.", , pf
polonaise aus der oper jewgeny onegin, 1879, "piano,  arr.", , pf
valse de concert, 1882–83, "piano,  arr.", , pf
salve maria de jérusalem, 1848, "piano,  arr.", , pf
salve maria de jérusalem, 1882, "piano,  arr.", , pf
paraphrase de concert sur ernani i, 1847, "piano,  arr.", , pf
paraphrase de concert sur ernani ii, 1859, "piano,  arr.", , pf
miserere du trovatore (paraphrase de concert), 1859, "piano,  arr.", , pf
paraphrase de concert sur rigoletto, 1855–59?, "piano,  arr.", , pf
finale de don carlos (coro di festa e marcia funebre), 1867–68, "piano,  arr.", , pf
danza sacra e duetto finale d’aida, 1876?, "piano,  arr.", , pf
agnus dei della messa da requiem di giuseppe verdi, 1877, "piano,  arr.", , pf
agnus dei della messa da requiem di giuseppe verdi, 1882, "piano,  arr.", , pf
réminiscences de boccanegra, 1882, "piano,  arr.", , pf
phantasiestück über motive aus rienzi, 1859, "piano,  arr.", , pf
spinnerlied aus dem fliegenden holländer, 1860, "piano,  arr.", , pf
ballade aus dem fliegenden holländer, 1872, "piano,  arr.", , pf
ouvertüre zu tannhäuser, 1848, "piano,  arr.", , pf
pilgerchor aus tannhäuser, 1861, "piano,  arr.", , pf
pilgerchor aus tannhäuser, 1885?, "piano,  arr.", , pf
o du mein holder abendstern (rezitativ und romanze aus der oper tannhäuser), 1849, "piano,  arr.", , pf
stücke aus tannhäuser und lohengrin (2):, 1852, "piano,  arr.", , pf
einzug der gäste auf der wartburg, 1852, "piano,  arr.", , pf
, , , , , "1st version of s.445/1b
einzug der gäste auf der wartburg, 1874, "piano,  arr.", , pf
einzug der gäste auf der wartburg, 1876, "piano,  arr.", , pf
elsas brautzug zum münster, 1852, "piano,  arr.", , pf
aus lohengrin, 1854, "piano,  arr.", , pf
festspiel und brautlied, 1854, "piano,  arr.", , pf
elsas traum, 1854, "piano,  arr.", , pf
lohengrins verweis an elsa, 1854, "piano,  arr.", , pf
isoldens liebestod (schlußszene), 1867, "piano,  arr.", , pf
am stillen herd, 1871, "piano,  arr.", , pf
walhall aus der ring des nibelungen, 1875, "piano,  arr.", , pf
feierlicher marsch zum heiligen gral aus parsifal, 1882, "piano,  arr.", , pf
freischütz fantasie, 1840, "piano,  arr.", , pf
leyer und schwerdt (heroide nach carl maria von weber), 1848, "piano,  arr.", , pf
"einsam bin ich,  nicht allein (volkslied aus dem schauspiel preziosa)", 1848, "piano,  arr.", 
schlummerlied mit arabesken, 1848, "piano,  arr.", , pf
polonaise brillante [weber], 1851, "piano,  arr.", , pf
valse d'adèle (transcription brillante), 1877, "piano,  arr.", , pf
, , , , , number not allocated

reminiscences de la scala (fantasie über italienische opernmelodien), 1838–39, "piano,  arr.", , pf
, , , , , number not allocated

kavallerie-geschwindmarsch, 1883?, "piano,  arr.", , pf
"partitions de piano,  transcriptions,  etc.", , , 
À la chapelle sixtine (miserere d'allegri et ave verum corpus de mozart), 1862, "piano,  transcr.", , pf
À la chapelle sixtine (miserere d'allegri et ave verum corpus de mozart), 1862, "piano,  transcr.", , pf
ave verum corpus de mozart, 1867, "piano,  transcr.", , pf
preludes and fugues by j.s. bach (6):, 1842–50, "piano,  transcr.", , pf
präludium und fuge, 1842–50, "piano,  transcr.", a minor, pf
präludium und fuge, 1842–50, "piano,  transcr.", c major, pf
präludium und fuge, 1842–50, "piano,  transcr.", c minor, pf
präludium und fuge, 1842–50, "piano,  transcr.", c major, pf
präludium und fuge, 1842–50, "piano,  transcr.", e minor, pf
präludium und fuge, 1842–50, "piano,  transcr.", b minor, pf
orgel fantasie und fuge, 1861?, "piano,  transcr.", g minor, pf
orgel fantasie und fuge, 1868, "piano,  transcr.", g minor, pf
symphonie no.5 de beethoven, 1837, "piano,  transcr.", c minor, pf
symphonie no.6 de beethoven, 1837, "piano,  transcr.", f major, pf
symphonie no.6 de beethoven, 1837, "piano,  transcr.", f major, pf
symphonie no.7 de beethoven, 1837, "piano,  transcr.", a major, pf
marche funèbre de la symphonie héroïque de beethoven, 1837, "piano,  transcr.", , pf
symphonies de beethoven (9):, 1863–64, "piano,  transcr.", , pf
symphonie no.1 de beethoven, 1863–64, "piano,  transcr.", c major, pf
symphonie no.2 de beethoven, 1863–64, "piano,  transcr.", d major, pf
symphonie no.3 de beethoven, 1863–64, "piano,  transcr.", e? major, pf
symphonie no.4 de beethoven, 1863–64, "piano,  transcr.", b? major, pf
symphonie no.5 de beethoven, 1863–64, "piano,  transcr.", c minor, pf
symphonie no.6 de beethoven, 1863–64, "piano,  transcr.", f major, pf
symphonie no.7 de beethoven, 1863–64, "piano,  transcr.", a major, pf
symphonie no.8 de beethoven, 1863–64, "piano,  transcr.", f major, pf
symphonie no.9 de beethoven, 1863–64, "piano,  transcr.", d minor, pf
grand septuor de beethoven, 1840, "piano,  transcr.", , pf
adelaide von beethoven, 1839, "piano,  transcr.", , pf
adelaide von beethoven, 1841, "piano,  transcr.", , pf
adelaide von beethoven, 1847, "piano,  transcr.", , pf
beethovens geistliche lieder von gellert (6):, 1840, "piano,  transcr.", , pf
gottes macht und vorsehung, 1840, "piano,  transcr.", , pf
bitten, 1840, "piano,  transcr.", , pf
bußlied, 1840, "piano,  transcr.", , pf
vom tode, 1840, "piano,  transcr.", , pf
die liebe des nächsten, 1840, "piano,  transcr.", , pf
die ehre gottes aus der natur, 1840, "piano,  transcr.", , pf
beethovens lieder von goethe (6), 1849, "piano,  transcr.", , pf
mignon, 1849, "piano,  transcr.", , pf
mit einem gemalten bande, 1849, "piano,  transcr.", , pf
freudvoll und leidvoll, 1849, "piano,  transcr.", , pf
es war einmal ein könig, 1849, "piano,  transcr.", , pf
wonne der wehmut, 1849, "piano,  transcr.", , pf
die trommel gerühret, 1849, "piano,  transcr.", , pf
an die ferne geliebte (liederkreis von ludwig van beethoven):, 1849, "piano,  transcr.", , pf
auf dem hügel, 1849, "piano,  transcr.", , pf
wo die bergen, 1849, "piano,  transcr.", , pf
leichte segler, 1849, "piano,  transcr.", , pf
diese wolken, 1849, "piano,  transcr.", , pf
es kehret der maien, 1849, "piano,  transcr.", , pf
nimm sie hin denn, 1849, "piano,  transcr.", , pf
episode de la vie d'un artiste (grande symphonie fantastique par hector berlioz), 1833, "piano,  transcr.", , pf
l'idée fixe (andante amoroso d'après une mélodie de berlioz), 1833, "piano,  transcr.", , pf
marche au supplice de la symphonie fantastique (episode de la vie d'un artiste de hector berlioz), 1865, "piano,  transcr.", , pf
ouverture des francs-juges de hector berlioz, 1833, "piano,  transcr.", , pf
harold en italie (symphonie de berlioz), 1836, "piano,  transcr.", , pf (+ va)
harold en italie (symphonie de berlioz), 1850–59?, "piano,  transcr.", , pf (+ va)
marche des pèlerins chantant la prière du soir (de la symphonie harold en italie de hector berlioz), 1836–37, "piano,  transcr.", , pf
marche des pèlerins (de la symphonie harold en italie de hector berliioz), 1862, "piano,  transcr.", , pf
ouverture du roi lear de hector berlioz, 1836–37, "piano,  transcr.", , pf
danse des sylphes de la damnation de faust de hector berlioz, 1860, "piano,  transcr.", , pf
esmeralda (opéra en 4 actes de l. bertin), 1837, stage, , vv ch pf, vocal score arr. of the opera la esmeralda by louise-angelique bertin; see also s.477 and s.477a

air chanté par massol de esmerelda de l. bertin, 1837, "piano,  transcr.", , pf
morceaux detachés d‘esmeralda de l. bertin (3):, 1837, "piano,  transcr.", , pf
"entracte,  recitatif et romance", 1837, "piano,  transcr.", 
air, 1837, "piano,  transcr.", , pf
scène et trio, 1837, "piano,  transcr.", , pf
russischer galop, 1843, "piano,  transcr.", , pf
tanto gentile e tanto onesta (dante's sonett von hans von bülow), 1874, "piano,  transcr.", , pf
6 polish songs (after chopin), 1857–60, "piano,  transcr.", , pf
mädchens wunsch (zyczenie), 1857–60, "piano,  transcr.", , pf
frühling (wiosna), 1857–60, "piano,  transcr.", , pf
das ringlein (pier?cie?), 1857–60, "piano,  transcr.", , pf
bacchanal (hulanka), 1857–60, "piano,  transcr.", , pf
meine freuden (moja pieszczotka), 1857–60, "piano,  transcr.", , pf
mes joies, 1860 or later, "piano,  transcr.", , pf
die heimkehr (narzeczony), 1857–60, "piano,  transcr.", , pf
zigeuner-polka (la célèbre zigeunerpolka d'august conradi), 1848, "piano,  transcr.", , pf
tarentelle de césar cui, 1885, "piano,  transcr.", , pf
tarantella de dargomijski, 1879, "piano,  transcr.", , pf
souvenir de russie (d'après ferdinand david), 1842, "piano,  transcr.", b? minor, pf
bunte reihe (24 stücke von ferdinand david), 1850, "piano,  transcr.", , pf
scherzo, 1850, "piano,  transcr.", c major, pf
erinnerung, 1850, "piano,  transcr.", c minor, pf
mazurka, 1850, "piano,  transcr.", d? major, pf
tanz, 1850, "piano,  transcr.", c? mino, pf
kinderlied, 1850, "piano,  transcr.", d major, pf
capriccio, 1850, "piano,  transcr.", d minor, pf
bolero, 1850, "piano,  transcr.", e? major, pf
elegie, 1850, "piano,  transcr.", e? minor, pf
marsch, 1850, "piano,  transcr.", e major, pf
toccata, 1850, "piano,  transcr.", e minor, pf
gondellied, 1850, "piano,  transcr.", f major, pf
im sturm, 1850, "piano,  transcr.", f minor, pf
romanze, 1850, "piano,  transcr.", f? major, pf
allegro agitato, 1850, "piano,  transcr.", f? minor, pf
menuetto, 1850, "piano,  transcr.", g major, pf
etüde, 1850, "piano,  transcr.", g minor, pf
intermezzo, 1850, "piano,  transcr.", a? major, pf
serenade, 1850, "piano,  transcr.", g? minor, pf
ungarisch, 1850, "piano,  transcr.", a major, pf
ungarisch, 1850, "piano,  transcr.", a major, pf
tarantella, 1850, "piano,  transcr.", a minor, pf
impromptu, 1850, "piano,  transcr.", b? major, pf
im russischer weise, 1850, "piano,  transcr.", b? minor, pf
lied, 1850, "piano,  transcr.", b major, pf
capriccio, 1850, "piano,  transcr.", b mnor, pf
dessauers lieder (3):, 1846–47, "piano,  transcr.", , pf
lockung, 1846–47, "piano,  transcr.", , pf
zwei wege, 1846–47, "piano,  transcr.", , pf
spanisches lied (bolero), 1846–47, "piano,  transcr.", , pf
der schwur am rütli (von f. draeseke), 1870, "piano,  transcr.", , pf
"die gräberinsel (lied von ernst,  herzog zu sachsen-coburg-gotha)", 1842, "piano,  transcr.", 
szózat und ungarischer hymnus (szózat és magyar himnusz), 1872, "piano,  transcr.", , pf
spanisches ständchen (melodie von graf leó festetics), 1844, "piano,  transcr.", , pf
er ist gekommen in sturm und regen (lied von robert franz), 1848, "piano,  transcr.", , pf
lieder von robert franz (12):, 1848, "piano,  transcr.", , pf
heft i: schilflieder, , , , , 

auf geheimen waldespfadeie, 1848, "piano,  transcr.", , pf
drüben geht die sonne scheiden, 1848, "piano,  transcr.", , pf
trübe wird's, 1848, "piano,  transcr.", , pf
sonnenuntergang, 1848, "piano,  transcr.", , pf
auf dem teich, 1848, "piano,  transcr.", , pf
lieder von robert franz (12):, 1848, "piano,  transcr.", , pf
heft ii: drei lieder, , , , , 

der schalk, 1848, "piano,  transcr.", , pf
der bote, 1848, "piano,  transcr.", , pf
meeresstille, 1848, "piano,  transcr.", , pf
lieder von robert franz (12):, 1848, "piano,  transcr.", , pf
heft iii: vier lieder, , , , , 

treibt der sommer seinen rosen, 1848, "piano,  transcr.", , pf
gewitternacht, 1848, "piano,  transcr.", , pf
das ist ein brausen und heulen, 1848, "piano,  transcr.", , pf
frühling und liebe, 1848, "piano,  transcr.", , pf
liebesszene und fortunas kugel aus dem oratorium die sieben todsünden (fantasiestück nach adalbert von goldschmidt), 1880, "piano,  transcr.", , pf
hymne á sainte cécile de charles gounod, 1866, "piano,  transcr.", , pf
tanzmomente von johann herbeck, 1869, "piano,  transcr.", , pf
tanzmomente no.1, 1869, "piano,  transcr.", g major, pf
tanzmomente no.2, 1869, "piano,  transcr.", a minor, pf
tanzmomente no.3, 1869, "piano,  transcr.", f major, pf
tanzmomente no.4, 1869, "piano,  transcr.", a major, pf
tanzmomente no.4, 1869, "piano,  transcr.", a major, pf
tanzmomente no.5, 1869, "piano,  transcr.", f major, pf
tanzmomente no.6, 1869, "piano,  transcr.", d major, pf
tanzmomente no.7, 1869, "piano,  transcr.", g major, pf
tanzmomente no.8, 1869, "piano,  transcr.", d major, pf
großes septett von johann nepomuk hummel, 1848, "piano,  transcr.", d minor, pf
großes septett von johann nepomuk hummel, 1869?, "piano,  transcr.", d minor, pf
"löse,  himmel,  meine seele (lied von eduard lassen)", 1861, "piano,  transcr."
"löse,  himmel,  meine seele (lied von eduard lassen)", 1872, "piano,  transcr."
ich weil' in tiefer einsamkeit (lied von eduard lassen), 1872, "piano,  transcr.", , pf
aus der musik zu hebbels nibelungen und goethes faust, 1878–79, "piano,  transcr.", , pf
hagen und kreimhild, 1878–79, "piano,  transcr.", , pf
bechlarn, 1878–79, "piano,  transcr.", , pf
osterhymne, 1878–79, "piano,  transcr.", , pf
hoffestliche marsch und polonaise, 1878–79, "piano,  transcr.", , pf
symphonisches zwischenspiel zu Über allen zauber liebe (intermezzo von eduard lassen), 1883, "piano,  transcr.", , pf
lieder zu tannhäuser (komponiert von otto lessmann) (3):, 1882, "piano,  transcr.", , pf
der lenz ist gekommen, 1882, "piano,  transcr.", , pf
"trinklied (""itzt hört ein neues liedlein an"")", 1882, "piano,  transcr.", , pf
du schaust mich an mit stummen fragen, 1882, "piano,  transcr.", , pf
die legende von der heiligen elisabeth:, 1857–62, "piano,  transcr.", , pf
orchester einleitung (orchestral introduction), 1857–62, "piano,  transcr.", , pf
marsch der kreuzritter (crusaders' march), 1857–62, "piano,  transcr.", , pf
interludium, 1857–62, "piano,  transcr.", , pf
christus (2 orchestersätze aus dem oratorium), 1871, "piano,  transcr.", , pf
hirtengesang an der krippe, 1871, "piano,  transcr.", , pf
die heiligen drei könige, 1871, "piano,  transcr.", , pf
san francesco (preludio per il cantico del sol di san francesco d'assisi), 1880?, "piano,  transcr.", , pf
cantico di san francesco, 1881–82, "piano,  transcr.", , pf
excelsior! (preludio zu dem glocken des strassburger münsters), 1874, "piano,  transcr.", , pf
aus der ungarischen krönungsmesse, 1867, "piano,  transcr.", , pf
benedictus, 1867, "piano,  transcr.", , pf
offertorium, 1867, "piano,  transcr.", , pf
weinachtslied (christus ist geboren), 1864, "piano,  transcr.", , pf
"slavimo slavno,  slaveni!", 1863, "piano,  transcr.", 
ave maria ii, 1869–70, "piano,  transcr.", d major, pf
ave maria ii, 1872, "piano,  transcr.", d? major, pf
via crucis (les 14 stations de la croix), 1878–79, "piano,  transcr.", , pf
alte deutsche geistliche weisen (12):, 1878–79, "piano,  transcr.", , pf
crux ave benedicta, 1878–79, "piano,  transcr.", , pf
jesu christe (die fünf wunden), 1878–79, "piano,  transcr.", , pf
meine seel' erhebt den herrn (gott sei gnädig und barmherzig), 1878–79, "piano,  transcr.", , pf
es segne uns gott, 1878–79, "piano,  transcr.", , pf
nun danket alle gott!, 1878–79, "piano,  transcr.", , pf
nun ruhen alle wälder, 1878–79, "piano,  transcr.", , pf
o haupt voll blut und wunden, 1878–79, "piano,  transcr.", , pf
o lamm gottes!, 1878–79, "piano,  transcr.", , pf
o traurigkeit, 1878–79, "piano,  transcr.", , pf
vexilla regis, 1878–79, "piano,  transcr.", , pf
"was gott tut,  das ist wohlgetan", 1878–79, "piano,  transcr.", 
wer nur den lieben gott läßt walten, 1878–79, "piano,  transcr.", , pf
in domum domini ibimus (zum haus des herrn ziehen wir), 1884, "piano,  transcr.", , pf
ave maris stella, 1868, "piano,  transcr.", , pf
o roma nobilis, 1879, "piano,  transcr.", , pf
klavierstück aus der bonner beethoven-kantate, 1846, "piano,  transcr.", , pf
schnitterchor aus den entfesselten prometheus, 1850, "piano,  transcr.", , pf
pastorale (schnitterchor aus den entfesselten prometheus), 1861, "piano,  transcr.", , pf
gaudeamus igitur (humoreske), 1869–70, "piano,  transcr.", , pf
marche héroïque, 1847–48?, "piano,  transcr.", , pf
chansons (3), 1852?, "piano,  transcr.", , pf
la consolation, 1852?, "piano,  transcr.", , pf
avant la bataille, 1852?, "piano,  transcr.", , pf
l'espérance, 1852?, "piano,  transcr.", , pf
geharnischte lieder (3):, 1860, "piano,  transcr.", , pf
vor der schlacht, 1860, "piano,  transcr.", , pf
nicht gezagt, 1860, "piano,  transcr.", , pf
es rufet gott uns mahnend, 1860, "piano,  transcr.", , pf
les préludes (poème symphonique no 3), 1863, "piano,  transcr.", , pf
orpheus (poème symphonique no.4), 1879, "piano,  transcr.", , pf
mazeppa (poème symphonique no.6), 1870–79?, "piano,  transcr.", , pf
festklänge (poème symphonique no.7), 1870–79?, "piano,  transcr.", , pf
hungaria (poème symphonique no.9), 1872, "piano,  transcr.", , pf
von der wiege bis zum grabe (poème symphonique no.13), 1881, "piano,  transcr.", , pf
faust symphony (andante soave aus der faust-symphonie), 1867, "piano,  transcr.", , pf
der nächtliche zug (episode aus lenaus faust), 1859–61, "piano,  transcr.", , pf
mephisto waltz no.1, 1859–61, "piano,  transcr.", , pf
mephisto waltz no.2, 1878–81?, "piano,  transcr.", , pf
les morts, 1860?, "piano,  transcr.", , pf
la notte, 1864–66, "piano,  transcr.", , pf
le triomphe funèbre du tasse, 1866–69, "piano,  transcr.", , pf
salve polonia (interludium aus dem oratorium stanislaus), 1863, "piano,  transcr.", , pf
polonaises de l'oratorio st. stanislaus, 1875, "piano,  transcr.", , pf
polonaise no.1, 1875, "piano,  transcr.", , pf
polonaise no.2, 1875, "piano,  transcr.", , pf
künstlerfestzug zur schillerfeier 1859, 1859–60, "piano,  transcr.", , pf
goethe-festmarsch, 1859, "piano,  transcr.", , pf
festmarsch nach motiven von e.h. z. s.-c.-g, 1858–59, "piano,  transcr.", , pf
ungarischer marsch zur krönungsfeier in ofen-pest am 8. juni 1867, 1870, "piano,  transcr.", , pf
ungarischer sturmmarsch (hungarian battle march), 1875–76, "piano,  transcr.", , pf
concerto sans orchestre, 1839?, "piano,  transcr.", a major, pf
totentanz, 1865, "piano,  transcr.", , pf
epithalam (zu eduard reményis vermählungsfeier), 1872, "piano,  transcr.", , pf
romance oubliée, 1880, "piano,  transcr.", , pf
festpolonaise, , "piano,  transcr.", , pf
präludium und fuge über das motiv b.a.c.h., 1855, "piano,  transcr.", , pf
fantasie und fuge über das thema b–a–c–h, 1870, "piano,  transcr.", , pf
hymne du pape, 1864, "piano,  transcr.", , pf
buch der lieder i (6), 1843, "piano,  transcr.", , pf
die loreley, 1843, "piano,  transcr.", , pf
am rhein in schönen strome, 1843, "piano,  transcr.", , pf
kennst du das land, 1843, "piano,  transcr.", , pf
es war ein könig in thule, 1843, "piano,  transcr.", , pf
der du von dem himmel bist, 1843, "piano,  transcr.", , pf
angiolin, 1843, "piano,  transcr.", , pf
die loreley, 1861, "piano,  transcr.", , pf
il m'aimait tant!, 1843, "piano,  transcr.", , pf
die zelle im nonnenwerth, 1840, "piano,  transcr.", , pf
elégie, 1841, "piano,  transcr.", , pf
feuille d'album no.2, 1849, "piano,  transcr.", , pf
die zelle im nonnenwerth (elegie), 1881, "piano,  transcr.", , pf
buch der lieder ii, 1847, "piano,  transcr.", , pf
"comment,  disaient-ils", 1847, "piano,  transcr.", 
"oh,  quand je dors", 1847, "piano,  transcr.", 
"enfant,  si j'étais roi", 1847, "piano,  transcr.", 
s'il est un charmant gazon, 1847, "piano,  transcr.", , pf
la tombe et la rose, 1847, "piano,  transcr.", , pf
gastibelza, 1847, "piano,  transcr.", , pf
"o lieb,  so lang du lieben kannst!", 1843?, "piano,  transcr.", 
liebesträume (3):, 1850, "piano,  transcr.", , pf
liebesträume no.1 (hohe liebe), 1850, "piano,  transcr.", a? major, pf
liebesträume no.2 (seliger tod), 1850, "piano,  transcr.", e? major, pf
"liebesträume no.3 (oh lieb,  so lang du lieben kannst)", 1850, "piano,  transcr.", a? major
weimars volkslied, 1857, "piano,  transcr.", c major, pf
weimars volkslied, 1873, "piano,  transcr.", f major, pf
ich liebe dich, 1857–60?, "piano,  transcr.", , pf
fanfare zur enthüllung des carl-augusts monument, 1875, "piano,  transcr.", , pf
a magyarok istene (ungarns gott), 1881, "piano,  transcr.", , pf
a magyarok istene (ungarns gott), 1881, "piano,  transcr.", , pflh
magyar király-dal (ungarisches königslied), 1883, "piano,  transcr.", , pf
ave maria iv, 1881, "piano,  transcr.", , pf
der blinde sänger (??????), 1878, "piano,  transcr.", , pf
o roma nobilis, 1879, "piano,  transcr.", , pf
mendelssohns lieder, 1840, "piano,  transcr.", , pf
(lieders de mendelssohn), , , , , 

auf flügeln des gesanges (les ailes du chant), 1840, "piano,  transcr.", , pf
sonntagslied (chant du dimanche), 1840, "piano,  transcr.", , pf
reiselied (chant du voyage), 1840, "piano,  transcr.", , pf
neue liebe (amour nouveau), 1840, "piano,  transcr.", , pf
frühlingslied (chant du printemps), 1840, "piano,  transcr.", , pf
winterlied (chant d'hiver), 1840, "piano,  transcr.", , pf
suleika, 1840, "piano,  transcr.", , pf
mendelssohns wasserfahrt und jäger-abschied, 1848, "piano,  transcr.", , pf
wasserfahrt, 1848, "piano,  transcr.", , pf
der jäger abschied, 1848, "piano,  transcr.", , pf
festmarsch zu schillers 100 jähriger geburtstagsfeier (von giacomo meyerbeer), 1860, "piano,  transcr.", , pf
transcriptionen aus mozarts requiem (2):, 1865, "piano,  transcr.", , pf
confutatis maledictis, 1865, "piano,  transcr.", , pf
lacrymosa, 1865, "piano,  transcr.", , pf
una stella amica (polka mazurka de f. pezzini), 1874–75?, "piano,  transcr.", , pf
tanz-capricen no.1 (einleitung und coda zu raffs walzer), 1854, "piano,  transcr.", d? major, pf
ouverture de l'opéra guillaume tell de gioachino rossini, 1838, "piano,  transcr.", , pf
caritas (nach rossini), 1847, "piano,  transcr.", , pf
la caritá (d'après rossini), 1847, "piano,  transcr.", , pf
transcriptions d'après rossini (2):, 1847, "piano,  transcr.", , pf
air du stabat mater, 1847, "piano,  transcr.", , pf
la charité, 1847, "piano,  transcr.", , pf
o! wenn es doch immer so bliebe! (lied von anton rubinstein), 1881, "piano,  transcr.", , pf
der asra (lied von anton rubinstein), 1880, "piano,  transcr.", , pf
Étude sur des notes fausses (einleitung und coda zu anton rubinsteins etude), 1880?, "piano,  transcr.", c major, pf
danse macabre (poème symphonique de camille saint-saëns), 1876, "piano,  transcr.", , pf
die rose (lied von franz schubert), 1833, "piano,  transcr.", , pf
die rose (lied von franz schubert), 1838, "piano,  transcr.", , pf
die rose (lied von franz schubert), 1837, "piano,  transcr.", , pf
lob der tränen (lied von franz schubert), 1838, "piano,  transcr.", , pf
erlkönig (lied von franz schubert), 1837, "piano,  transcr.", , pf
meeresstille (lied von franz schubert), 1837, "piano,  transcr.", , pf
frühlingsglaube (lied von franz schubert), 1837, "piano,  transcr.", , pf
ave maria (lied von franz schubert), 1837, "piano,  transcr.", , pf
lieder von franz schubert (12):, 1837–38, "piano,  transcr.", , pf
sei mir gegrüßt (sois toujours mes seuls amours), 1837–38, "piano,  transcr.", , pf
auf dem wasser zu singen (barcarolle), 1837–38, "piano,  transcr.", , pf
du bist die ruh' (l'attente), 1837–38, "piano,  transcr.", , pf
du bist die ruh' (l'attente), 1876, "piano,  transcr.", , pf
erlkönig (le roi des aulnes), 1837–38, "piano,  transcr.", , pf
erlkönig (le roi des aulnes), 1876, "piano,  transcr.", , pf
meeresstille (la mer calme), 1837–38, "piano,  transcr.", , pf
die junge nonne (la jeune r éligieuse), 1837–38, "piano,  transcr.", , pf
frühlingsglaube (espoir dans le printemps), 1837–38, "piano,  transcr.", , pf
frühlingsglaube (espoir dans le printemps), 1876, "piano,  transcr.", , pf
gretchen am spinnrade (marguerite), 1837–38, "piano,  transcr.", , pf
gretchen am spinnrade (marguerite), 1876, "piano,  transcr.", , pf
ständchen von shakespeare (la sérénade de shakspeare), 1837–38, "piano,  transcr.", , pf
ständchen von shakespeare (la sérénade de shakspeare), 1876, "piano,  transcr.", , pf
rastlose liebe, 1837–38, "piano,  transcr.", , pf
der wanderer (le pèlerin), 1837–38, "piano,  transcr.", , pf
der wanderer (le pèlerin), 1876, "piano,  transcr.", , pf
ave maria, 1837–38, "piano,  transcr.", , pf
gondelfahrer (männerquartett von franz schubert), 1838, "piano,  transcr.", , pf
la sérénade de franz schubert, 1837, "piano,  transcr.", , pf
schwanengesang (lieder von franz schubert), 1838–39, "piano,  transcr.", , pf
die stadt, 1838–39, "piano,  transcr.", , pf
das fischermädchen, 1838–39, "piano,  transcr.", , pf
aufenthalt, 1838, "piano,  transcr.", , pf
am meer, 1838–39, "piano,  transcr.", , pf
abschied, 1838–39, "piano,  transcr.", , pf
in der ferne, 1838–39, "piano,  transcr.", , pf
ständchen, 1838, "piano,  transcr.", , pf
ständchen, 1880, "piano,  transcr.", , pf
ihr bild, 1838–39, "piano,  transcr.", , pf
frühlingssehnsucht, 1838–39, "piano,  transcr.", , pf
liebesbotschaft, 1838–39, "piano,  transcr.", , pf
der atlas, 1838–39, "piano,  transcr.", , pf
der doppelgänger, 1838–39, "piano,  transcr.", , pf
die taubenpost, 1838–39, "piano,  transcr.", , pf
kriegers ahnung, 1838–39, "piano,  transcr.", , pf
winterreise (12 lieder von franz schubert), 1839, "piano,  transcr.", , pf
gute nacht, 1839, "piano,  transcr.", , pf
die nebensonnen, 1839, "piano,  transcr.", , pf
mut!, 1839, "piano,  transcr.", , pf
die post, 1839, "piano,  transcr.", , pf
erstarrung, 1839, "piano,  transcr.", , pf
wasserflut, 1839, "piano,  transcr.", , pf
der lindenbaum, 1839, "piano,  transcr.", , pf
der leiermann, 1839, "piano,  transcr.", , pf
täuschung, 1839, "piano,  transcr.", , pf
das wirtshaus, 1839, "piano,  transcr.", , pf
der stürmische morgen, 1839, "piano,  transcr.", , pf
im dorfe, 1839, "piano,  transcr.", , pf
franz schuberts geistliche lieder, 1840, "piano,  transcr.", , pf
litaney, 1840, "piano,  transcr.", , pf
himmelsfunken, 1840, "piano,  transcr.", , pf
die gestirne, 1840, "piano,  transcr.", , pf
hymne, 1840, "piano,  transcr.", , pf
melodien von franz schubert (6):, 1844, "piano,  transcr.", , pf
lebe wohl!, 1844, "piano,  transcr.", , pf
mädchens klage, 1844, "piano,  transcr.", , pf
das sterbeglöcklein, 1844, "piano,  transcr.", , pf
