original works, , , , , 

opera, , , , , 

don sanche (le château de l'amour), 1824–25, stage, , vv ch orch, "opera in 1 act; libretto by théaulon and de rancé
totentanz, 1847–53, "orchestral,  piano", , pf orch
totentanz, 1859–64?, "orchestral,  piano", , pf orch
concerto in the hungarian style, , "orchestral,  piano", , pf orch
"chamber music,  etc.", , , , 
waltzes (2):, 1823–25?, chamber, , vn pf, 

waltz, 1823–25?, chamber, a major, vn pf, 

"waltz aus dem ballet ""die amazonen""", 1823–25?, chamber, a major, vn pf, based on a theme from the ballet die amazonen by robert von gallenberg; arr. for pf as s.126b

"duo (sonata) [""sur des thèmes polonais""]", 1835, chamber, c? minor, vn pf, "based on no.2 of the mazurkas
"grand duo concertant (sur la romance de m. lafont,  ""le marin"")", 1849?, chamber, , vn pf
epithalam (zu eduard reményis vermählungsfeier), 1872, chamber, , vn pf, arr. for pf as s.526; arr. for pf4h as s.611 [?]

elegy no.1, 1874, chamber, , hp vc pf harm, "arr. of s.196; see also s.130b
elegy no.1, 1874, chamber, , vc pf, "arr. of s.196; see also s.130a
elegy no.1, 1874, chamber, , vn pf (+ harm), "arr. of s.196; see also s.130a
elegy no.2, 1877–78, chamber, , vc pf, arr. of s.197; see also s.131bis

elegy no.2, 1877–78, chamber, , vn pf, arr. of s.197; see also s.131

romance oubliée, 1880, chamber, , va pf, "arr. of s.527; see also s.132b
romance oubliée, 1880, chamber, , vn pf, "arr. of s.527; see also s.132a
romance oubliée, 1880, chamber, , vc pf, "arr. of s.527; see also s.132a
die wiege (the cradle), 1881?, chamber, , 4vn, arr. from the 1st movement of s.107; unpublished (in private collection)

la lugubre gondola (die trauer-gondel), 1882–83, chamber, , vc pf, arr. of s.200/1

la lugubre gondola (die trauer-gondel), 1885, chamber, , vn pf, arr. of s.200/2

am grabe richard wagners, 1883, chamber, , 2vn va vc (+ hp), "using theme from the prelude of s.6; arr. for pf as s.202
"pianoforte,  two hands", , , , 
studies, , , , , 

Étude en douze exercices:, 1826, "piano,  etude", , pf
(allegro con fuoco), 1826, "piano,  etude", c major, pf
(allegro non molto), 1826, "piano,  etude", a minor, pf
(allegro sempre legato), 1826, "piano,  etude", f major, pf
(allegretto), 1826, "piano,  etude", d minor, pf
(moderato), 1826, "piano,  etude", b? major, pf
(molto agitato), 1826, "piano,  etude", g minor, pf
(allegretto con molto espressione), 1826, "piano,  etude", e? major, pf
(allegro con spirito), 1826, "piano,  etude", c minor, pf
(allegro grazioso), 1826, "piano,  etude", a? major, pf
(moderato), 1826, "piano,  etude", f minor, pf
(allegro grazioso), 1826, "piano,  etude", d? major, pf
(allegro non troppo), 1826, "piano,  etude", b? minor, pf
preludio (allegro maestoso), 1826?, "piano,  etude", f? major, pf
grandes études:, 1837, "piano,  etude", , pf
(presto), 1837, "piano,  etude", c major, pf
(molto vivace), 1837, "piano,  etude", a minor, pf
(poco adagio), 1837, "piano,  etude", f major, pf
(allegro patetico), 1837, "piano,  etude", d minor, pf
(egualmente), 1837, "piano,  etude", b? major, pf
(largo patetico), 1837, "piano,  etude", g minor, pf
(allegro deciso), 1837, "piano,  etude", e? major, pf
(presto strepitoso), 1837, "piano,  etude", c minor, pf
(andantino), 1837, "piano,  etude", a? major, pf
(presto molto agitato), 1837, "piano,  etude", f minor, pf
(lento assai), 1837, "piano,  etude", d? major, pf
(andantino), 1837, "piano,  etude", b? minor, pf
mazeppa, 1840, "piano,  etude", d minor, pf
Études d'exécution transcendante (12 transcendental etudes):, 1851, "piano,  etude", , pf
preludio, 1851, "piano,  etude", c major, pf
[fusées] (molto vivace), 1851, "piano,  etude", a minor, pf
paysage, 1851, "piano,  etude", f major, pf
mazeppa, 1851, "piano,  etude", d minor, pf
feux-follets (irrlichter), 1851, "piano,  etude", b? major, pf
vision, 1851, "piano,  etude", g minor, pf
eroica, 1851, "piano,  etude", e? major, pf
wilde jagd, 1851, "piano,  etude", c minor, pf
ricordanza, 1851, "piano,  etude", a? major, pf
[appassionata] (allegro agitato molto), 1851, "piano,  etude", f minor, pf
harmonies du soir, 1851, "piano,  etude", d? major, pf
chasse-neige, 1851, "piano,  etude", b minor, pf
Études d'exécution transcendante d'après paganini:, 1838, "piano,  etude", , pf
tremolo, 1838, "piano,  etude", g minor, pf
tremolo, 1838, "piano,  etude", g minor, pf
octave, 1838, "piano,  etude", e? major, pf
campanella, 1838, "piano,  etude", a? minor, pf
arpeggio, 1838, "piano,  etude", e major, pf
arpeggio, 1838, "piano,  etude", e major, pf
la chasse, 1838, "piano,  etude", e major, pf
la chasse, 1838, "piano,  etude", e major, pf
tema con variazioni, 1838, "piano,  etude", a minor, pf
grandes études de paganini:, 1851, "piano,  etude", , pf
